id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"f46fd9816e224ba7a10f52a83c28a8a9","baltimore_city","Thu, 15 Jun 2023 18:42:39 GMT","Thu, 15 Jun 2023 18:44:02 GMT","Fire Station","Feature Service","This dataset represents the facility location, in which firefighting apparatus and usually fire department personnel are housed; Baltimore City's Fire Stations.","Public Safety,Fire,Firehouse,Fire Station,Fire Department,Community,Emergency,Fire Facilities,Geographic","This dataset represents the facility location, in which firefighting apparatus and usually fire department personnel are housed; Baltimore City's Fire Stations.","","","","en-us","https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Fire_Stations1/FeatureServer","public","none","Baltimore City","-76.69481757794512,39.22493269694304,-76.54162267983445,39.36239567146487",""
"022c37e6c99e492589b27344557f0066","jacobfrance","Tue, 24 Mar 2020 13:13:56 GMT","Tue, 23 Apr 2024 19:57:24 GMT","Percentage of Residential Sales in Foreclosure (REO)","Feature Service","The portion of the homes and condominiums sold that were identified as being owned by the bank (REO) out of all residential properties sold in a calendar year. Source: RBIntel Years Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022","housing, housing & development","The portion of the homes and condominiums sold that were identified as being owned by the bank (REO) out of all residential properties sold in a calendar year.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Reosa/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692410451,39.197164383281496,-76.52895084597276,39.372566055262084",""
"ee0a1795b26d4a2984bdf5f3d2abe065","jacobfrance","Thu, 16 May 2024 20:53:31 GMT","Mon, 20 May 2024 14:18:28 GMT","Percent of Population Working from Home","Feature Service","The percentage of the working population that does not commute to work. Source: U.S. Census Bureau, American Community Survey Years Available: 2018-2022","workforce","The percentage of the working population that does not commute to work. ","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Workhome/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383281496,-76.52895084597277,39.37256605526499",""
"f8dad44c3d1243a0b5656ddd1e831a08","baltimore_city","Tue, 25 Jul 2023 19:20:15 GMT","Tue, 25 Jul 2023 19:20:15 GMT","Police Department -Baltimore, Maryland Incident Report Week Ending 07/22/2023","PDF","","Police,Public Safety","This document contains citywide crime incident reports from the Baltimore Police Department  for the City of Baltimore for the week ending 07/22/2023. For any questions related to this data set please contact the Baltimore Police Department","","","",,,"public","none","Baltimore City","-76.71479999997021,39.25959999998464,-76.52249999997024,39.340999999984646",""
"ee5c3e1376cc4f5da74e6994e8e0a7e1","baltimore_city","Thu, 12 Oct 2023 21:19:26 GMT","Fri, 05 Jul 2024 19:51:36 GMT","Baltimore City Fire Department Leave-Behind Naloxone Distribution","Feature Service","Baltimore City Fire Department (BCFD) EMS clinicians distribute ""leave-behind ""naloxone kits to members of the patient’s family, to friends, and/or to other residents in the area when responding to overdose-related 911 calls. The dataset provides a monthly total of how many leave-behind naloxone kits were provided by BCFD personnel on overdose-related 911 responses. Dataset will include the date, zip code, and amount of kits distributed . Change Log 2021-12-16: - Added FY2021 data - Metadata added - Columns renamed to a standard format - Agency names reformatted with Workday conventions Data Dictionary field_name description data_type range_of_possible_values example_values date The date that naloxone leave-behind kits were distributed by a Baltimore City Fire Department clinician. Date 8/1/2019 zipCode The ZIP code in which naloxone leave-behind kits were distributed by a Baltimore City Fire Department clinician. Category All Baltimore City ZIP codes 21211 kitsDistributed The number of leave-behind naloxone kits that were left with patients. Number Minimum 1, no maximum. 1","Health,Community,City Services,Public Safety","Baltimore City Fire Department (BCFD) EMS clinicians distribute ""leave-behind ""naloxone kits to members of the patient’s family, to friends, and/or to other residents in the area when responding to overdose-related 911 calls. The dataset provides a monthly total of how many leave-behind naloxone kits were provided by BCFD personnel on overdose-related 911 responses. Dataset will include the date, zip code, and amount of kits distributed","","","This work is licensed under a Creative Commons Attribution 3.0 Unported License.","en-us","https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Baltimore_City_Fire_Department_Leave_Behind_Naloxone_Program_new/FeatureServer","public","CC-BY-3.0","Baltimore City","",""
"d86a3d76c0984ee7a8d97d9604975bcf","baltimore_city","Wed, 20 Dec 2023 19:34:49 GMT","Wed, 29 May 2024 12:26:29 GMT","Address Point (Native)","Feature Service","A spatial data layer containing point geometry features for representing both the physical and mailing addresses for properties, buildings, and sub-address locations in Baltimore City, as documented in the City's real property and property location database sources. The data employs what's referred to as the City native schema/data standard, which has specific attribute field names, field formats, and data standards to support internal City services. The data contained in this data layer (number of features, accuracy, point locations) will match the data in the other address point data layer on Open Baltimore (“Address Point (NG911)”), just the format of the attribute field names and data standards will be different, as well as some internal City attributes fields have been added to support internal City services not related to a NG911 system. This data also employs the NAD 1983 StatePlane Maryland FIPS 1900 (US Feet) projected coordinate system (WKID: 2248). Data is updated on a quarterly basis. Data Dictionary:

field_name
description
data_type
range_of_possible_values
example_values
searchable

1
OBJECTID
The database’s
internal unique identifier for the data table record.
Number
0 - 999999999
91715
No

2
edit_date
The database’s
recorded date of when the address point feature was last edited.
Date
1/1/1990  00:00:00 - 12/31/2100 00:00:00. Will likely
not see dates prior to the year 2000.
8/31/2021 10:04
Yes

3
country
The
country that address point feature is located (all records will have the
value “United States”).
Category
United
States (US)
United
States, US
Yes

4
state
The
state that address point feature is located (all records will have the value
“Maryland”).
Category
Maryland
(MD)
Maryland,
MD
Yes

5
county
The
county that address point feature is located (all records will have the value
“Baltimore City”).
Category
Baltimore
City
Baltimore
City
Yes

6
inc_muni
The
officially recognized municipality as set forth by the United States Postal
Service (USPS) that address point feature is located (all records will have
the value “Baltimore”).
Category
Baltimore
Baltimore
Yes

7
addr_numbe
The
assigned number for the address.
Number
1
-- 9999
401,
3232
Yes

8
addr_frac
The
additional fraction attached at the end of the assigned number of an address.
Number
1/2-9999,
A - Z
1/2,
A
Yes

9
st_name
The
name of the street. For ""Alley"" street type centerline segments, an
alley naming routine was employed in the legacy database to populate the
street name field based on the names of the parallel streets, with the
western or northern street listed first (e.g., HICKORY-ROLAND). Alleys that
did not have a second parallel street (i.e., alleys that back up to woods,
train tracks, etc.) were named with the parallel street name and post type
followed by “Rear” (e.g. TUSCANY CT REAR) to prevent potential name
duplication. If there were multiple alleys in a single block, they were named
as above, then numbered from west to east or north to south (e.g.,
CHESTNUT-KESWICK 1, CHESTNUT-KESWICK 2).
Free
Text Entry
%
(any name)
FAYETTE,
EASTERN, HICKORY-ROLAND
Yes

10
st_dir
The
pre-directional prefix of a street name (i.e., “ N CHARLES ST”)
Category
N,
S, E, W, NE, NW, SE, SW
N,
E
Yes

11
st_type
The
type of street, such as avenue (“AVE”), street (“ST”), lane (“LN”), road
(“RD”), alley (“AL”), terrace (“TER”), court (“CT”), boulevard (“BLVD”), way
(“WAY”), parkway (“PKWY”), etc.
Category
AL,
AVE, BLVD, CIR, CRES, CT, DR, GLN, GRTH, HWY, LN, LNDG, MALL, MEWS, PASS,
PATH, PIKE, PKWY, PL, PLZ, PLZA, PT, RD, RUN, SQ, ST, TER, TERR, WALK, WAY
AVE,
ST, TER, GRTH
Yes

12
zip_code
The
ZIP Code where the address is located.
Category
21201
- 21287
21202
Yes

13
extd_zip
The
4-digit suffix appended to the ZIP Code assigned to the address.
Free
Text Entry
0000
- 9999
3426
Yes

14
unit
The
given subdivision of an address number, such as the apartment or suite
number.
Free
Text Entry
1
- 999999, A - Z, 1A - 999999Z, A1, Z999999, APT, UNIT, REAR, PH, OFC, North
Tower, LOWR, LE, FRNT, FLOOR, FL, FLR, BSMT, UPPR, SLIP, SIDE, RM
APT
A, SLIP 7, RM S10B02, FL-3, BSMT A, 507
Yes

15
coord_x
The
x-coordinate  (or longitude, in decimal
degrees) of the address point.
Number
Range
of longtitudes for Baltimore City: -76.524138 - -76.714266
-76.610025
Yes

16
coord_y
The
y-coordinate (or latitude, in decimal degrees) of the address point.
Number
Range
of latitudes for Baltimore City: 39.197233 - 39.374040
39.290368

Yes

17
created_user
The
database’s City or contracted vendor user name that created the address point
feature.
Category
%
(any name)
DMARK,
SAMUEL.WILSON
Yes

18
created_date
The
database’s recorded date of when the address point feature was initially
created.
Date
1/1/1990  00:00:00 - 12/31/2100 00:00:00. Will likely
not see dates prior to the year 2000.
8/31/2021
10:04
Yes

19
last_edited_user
The
database’s City or contractor user name that last edited the address point
feature.
Category
%
(any name)
DMARK, SAMUEL.WILSON
Yes

20
last_edited_date
The
database’s recorded date of when the address point feature was last edited.
Date
1/1/1990  00:00:00 - 12/31/2100 00:00:00. Will likely
not see dates prior to the year 2000.
8/31/2021 10:04
Yes

21
external_nguid
The
current unique identifier for the address point feature.
Free
Text Entry
1
- 999999999
182582
Yes

22
globalid
The
global unique identifier for the address point feature.
Number
{%%%%%%%%-%%%%-%%%%-%%%%-%%%%%%%%%%%%}
(any 36 character alphanumeric value)
{1FE2763D-33D5-4D2A-9F9E-7B9B686ACA8C}
No

23
block_lot
The
unique identifier for the property parcel within which the address is
located.
Free
Text Entry
0001
001 - 9999 999, PSC0 000 - PSC0 999 (block lot values can also have text
suffices; i.e., ""8490 007A"")
1331
016, 8490 007A
Yes

24
full_addr
The
full name of the address, a concatenation of the address number (addr_numbe),
address fraction (addr_frac), street pre-directional (st_dir), street name
(st_name), and street type (st_type) fields.
Free
Text Entry
%
(any address in City)
401
E FAYETTE ST
Yes

25
address_id
The
legacy unique identifier for the address point feature.
Number
000000
- 999999
183539
Yes

26
cline_id
The
legacy unique identifier for the street centerline segment containing the
address within its address ranges.
Free
Text Entry
0000001
- 9999999, AA######, BA######, BC###### (will usually have the prefix
""BC"" followed by 6 digits)
BC014398
Yes

27
editor
The
legacy database’s City or contractor user name that last edited the address
point feature.
Free
Text Entry
%
(any name)
DMARK,
SLL
Yes

28
loc_name
The
legacy database’s alias name (i.e., common place name) for the address
location.
Free
Text Entry
%
(any name)
POOLE
& HUNT BUILDING - CLIPPER MILL, CAMDEN MARC STATION
Yes

dirsuf
The
post-directional prefix of a street name (i.e., “KEY HWY E ”)
Category
N,
S, E, W, NE, NW, SE, SW
N,
E
Yes

com_idnfr
An
identifying value used to indicate if the address point has a unique x/y
location in City, or shares the same x/y location as other address points.
Address points sharing the same x/y location will share the same com_idnfr
value.
Number
1
- 999999999
1,
525, 243415
Yes

29
Shape
The
geometry designation of the address point feature, for GIS purposes.
Category
Point
Point
No","City Government,Geographic,Geo Spatial,City Services,Address","A spatial data layer containing point geometry features for representing both the physical and mailing addresses for properties, buildings, and sub-address locations in Baltimore City, in the City native schema/data standard.","","","","en-us","https://egis.baltimorecity.gov/egis/rest/services/Address_Points/AddressPoint_Native/FeatureServer","public","none","Baltimore City","-76.712,39.2004,-76.5291,39.3725",""
"cee4ceee1be94cf5b54602b88fb02704","baltimore_city","Wed, 24 Mar 2021 15:47:41 GMT","Wed, 26 May 2021 14:15:02 GMT","Police Department - Baltimore, Maryland Incident Report 3/24/2021","PDF","Police Department - Baltimore, Maryland Incident Report 3/24/2021","Police,Public Safety,Incident,Department","Police Department - Baltimore, Maryland Incident Report 3/24/2021","","","",,,"public","none","Baltimore City","-8539852.472304652,4758925.557563297,-8518445.734225107,4770635.271085186",""
"e2e28511486d403da94f5b701616bf33","jacobfrance","Wed, 26 Feb 2020 16:46:44 GMT","Wed, 14 Jul 2021 17:04:22 GMT","Percentage of 5th Grade Students Passing MSA Reading","Feature Service","The percentage of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient. Source: Baltimore City Public Schools Years Available: 2009-2010, 2010-2011, 2011-2012, 2012-2013, 2013-2014","education,2010,2011,2012,2013,2014","The percentage of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Read5/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383596785,-76.52895092488556,39.37256605526499",""
"d7f38ce4d36b4731b1b6cad189c8fddf","jacobfrance","Wed, 25 Mar 2020 21:15:19 GMT","Wed, 14 Jul 2021 16:58:42 GMT","Mortality by Age (45-64 Years old)","Feature Service","The number of deaths of persons between the ages of 45 and 64 per 10,000 persons within the area in a five year period. Source: Baltimore City Health Department Years Available: 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","health,2011,2012,2013,2014,2015,2016,2017,2018","The number of deaths of persons between the ages of 45 and 64 per 10,000 persons within the area in a five year period.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Mort64_/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383596785,-76.52895092488556,39.37256605526499",""
"cd9aa67f2f8a4b8e998b164723b88d56","baltimore_city","Fri, 26 May 2023 20:50:57 GMT","Fri, 26 May 2023 20:57:25 GMT","Adult Day Care Facilities","Feature Service","This dataset represents the location of adult day care facilities within the City of Baltimore. The list of facilities is from the Maryland Office of Health Care and Quality (OHCQ).","Health,Adult Day Care,Day Care,Community,Business,Geograpghic","This dataset represents the location of adult day care facilities within the City of Baltimore. The list of facilities is from the Maryland Office of Health Care and Quality (OHCQ).","","","","en-us","https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Adult_Day_Care/FeatureServer","public","none","Baltimore City","-76.70747796747052,39.25617843108907,-76.54376005750534,39.36903550565894",""
